,id,created_at,date,time,timezone,user_id,username,place,tweettext,mentions,urls,replies_count,retweets_count,likes_count,hashtags,link,year,topic,topic2
0,1.1879230584362516e+18,1572057902000.0,2019-10-25,21:45:02,CDT,16417526.0,phonearena,,tmobil doj httpwwwphonearenacomnewsdojcomplainsaboutstatesdelayingtmobilesprintmerger_id119957,[],['http://www.phonearena.com/news/DOJ-complains-about-states-delaying-T-Mobile-Sprint-merger_id119957'],0,1,6,"['#tmobile', '#sprint', '#tmobilesprint', '#doj']",https://twitter.com/phonearena/status/1187923058436251648,2019,0,2
1,1.1867943632816415e+18,1571788800000.0,2019-10-22,19:00:00,CDT,20473084.0,mediajustice,,merger particularli disconnect black consum consum color httpswwwtheatlanticcomideasarchivetmobileandsprintsmergerwillhurtconsum stoptmobilesprint,[],['https://www.theatlantic.com/ideas/archive/2019/10/t-mobile-and-sprints-merger-will-hurt-consumers/599245/'],0,0,0,"['#tmobilesprint', '#stoptmobilesprint']",https://twitter.com/mediajustice/status/1186794363281641473,2019,1,3
2,1.186671178125054e+18,1571759430000.0,2019-10-22,10:50:30,CDT,1.144993729771692e+18,pathedger18,,im glad see deal move forward opportun creat nationwid 5g network dwarf number job creat kind govern rent extract httpswwwbizjournalscomkansascitynewssprinttmobiledishlawsuitcoloradowirelessjobshtml,[],['https://www.bizjournals.com/kansascity/news/2019/10/21/sprint-tmobile-dish-lawsuit-colorado-wireless-jobs.html'],0,0,0,"['#5g', '#tmobilesprint']",https://twitter.com/PatHedger18/status/1186671178125053953,2019,2,3
3,1.186323192022999e+18,1571676464000.0,2019-10-21,11:47:44,CDT,89139063.0,katharinakort,,iot warum beim usmobilfunkanbiet mäusefallen signal senden httpswwwhandelsblattcomhtmlsharetwitt 5g mobilfunk internetderding,[],['https://www.handelsblatt.com/25137736.html?share=twitter'],0,2,1,"['#iot', '#us', '#sprint', '#mäusefallen', '#signale', '#5g', '#mobilfunk', '#internetderdinge', '#tmobilesprint']",https://twitter.com/katharinakort/status/1186323192022999040,2019,0,3
4,1.184904289803821e+18,1571338171000.0,2019-10-17,13:49:31,CDT,1321546328.0,kfenneltd,,state worri mobil merg disney own abc fox bunch entertain compani disney monopoli,[],[],0,0,0,"['#tmobilesprint', '#disney', '#monopoly']",https://twitter.com/kfenneltd/status/1184904289803821058,2019,2,3
5,1.1846174916721336e+18,1571269793000.0,2019-10-16,18:49:53,CDT,2994053057.0,newsinvideos,,billion merger offici approv fcc httpsisgd8exgik,[],['https://is.gd/8EXgIK'],0,1,0,"['#the', '#billion', '#merger', '#has', '#officially', '#been', '#approved', '#by', '#the', '#fcc', '#tmobilesprint']",https://twitter.com/newsinvideos/status/1184617491672133632,2019,0,3
6,1.184612379285508e+18,1571268574000.0,2019-10-16,18:29:34,CDT,13428852.0,nish,,tmobil merger mean big us telco becom big consum pay even higher price price nearli time uk tmobil telco,[],[],0,0,0,"['#tmobilesprint', '#tmobile', '#sprint', '#telco']",https://twitter.com/nish/status/1184612379285508097,2019,1,3
7,1.1845862084349665e+18,1571262335000.0,2019-10-16,16:45:35,CDT,224672352.0,cdrinfo_com,,fcc approv deal httpswwwcdrinfocomd7contentfccapprovestmobilesprintd pictwittercomfumummg3f9,[],['https://www.cdrinfo.com/d7/content/fcc-approves-t-mobile-sprint-deal'],0,0,1,['#tmobilesprint'],https://twitter.com/CDRInfo_com/status/1184586208434966535,2019,0,3
8,1.1845411263442166e+18,1571251586000.0,2019-10-16,13:46:26,CDT,22962094.0,itstravy,,ajitpaifcc allow tmobil merg welcom america choic,"['ajitpaifcc', 'sprint']",[],0,0,0,['#tmobilesprint'],https://twitter.com/ItsTravy/status/1184541126344216585,2019,1,2
9,1.184531532486185e+18,1571249299000.0,2019-10-16,13:08:19,CDT,7.870733037938934e+17,collusional,,bad news ewarren nomoremonopoli httpstwittercommatthewkeyslivestatu,['ewarren'],['https://twitter.com/matthewkeyslive/status/1184531213421350915'],0,0,0,"['#nomoremonopolies', '#tmobilesprint']",https://twitter.com/collusional/status/1184531532486184962,2019,1,3
10,1.1837525026986353e+18,1571063564000.0,2019-10-14,09:32:44,CDT,131074139.0,ducktalesw00h00,,took taxpay money serv peopl wasnt actual serv admit mistak promis pay money back could punish fcc fcc taxpayersmoney sprintmerg tmobilemerg sprinttmobil httpsarstechnicacomtechpolicysprinttookfcccashforservingpeopleitwasntactuallyserv,[],['https://arstechnica.com/tech-policy/2019/09/sprint-took-fcc-cash-for-serving-885000-people-it-wasnt-actually-serving/'],0,1,0,"['#sprint', '#fcc', '#taxpayersmoney', '#sprintmerger', '#tmobilemerger', '#sprinttmobile', '#tmobilesprint']",https://twitter.com/DuckTalesW00H00/status/1183752502698635265,2019,0,3
11,1.1808844661991916e+18,1570379771000.0,2019-10-06,11:36:11,CDT,131074139.0,ducktalesw00h00,,took fcc cash serv peopl wasnt actual serv admit mistak promis pay money back could punish fcc fcc taxpayersmoney sprintmerg tmobilemerg sprinttmobil taxpay httpsarstechnicacomtechpolicysprinttookfcccashforservingpeopleitwasntactuallyserv,[],['https://arstechnica.com/tech-policy/2019/09/sprint-took-fcc-cash-for-serving-885000-people-it-wasnt-actually-serving/'],0,2,0,"['#sprint', '#fcc', '#taxpayersmoney', '#sprintmerger', '#tmobilemerger', '#sprinttmobile', '#tmobilesprint', '#taxpayers']",https://twitter.com/DuckTalesW00H00/status/1180884466199191552,2019,0,3
12,1.180156935581995e+18,1570206314000.0,2019-10-04,11:25:14,CDT,3063629509.0,brucemirken,,consum advoc includ greenlin push delay approv fcc httpswwwbroadcastingcablecomnewspetitionfiledtodelayfccstmobilesprintdecis,"['greenlining', 'fcc']",['https://www.broadcastingcable.com/news/petition-filed-to-delay-fccs-t-mobile-sprint-decision'],0,2,2,['#tmobilesprint'],https://twitter.com/BruceMirken/status/1180156935581995008,2019,0,3
13,1.1788464111499796e+18,1569893860000.0,2019-09-30,20:37:40,CDT,8.41344279603753e+17,tammysuev,,data depolar inde minut slowasasnail unlimitedli trump whitehous buildmoretowersnotli rethinkmerg minordownload pictwittercomwtctkxxmxl,[],[],0,0,1,"['#slowasasnail', '#unlimitedlies', '#trump', '#whitehouse', '#buildmoretowersnotlies', '#tmobilesprint', '#rethinkmerger', '#minordownload']",https://twitter.com/tammysuev/status/1178846411149979648,2019,0,3
14,1.1779796634042122e+18,1569687212000.0,2019-09-28,11:13:32,CDT,1.1503929516185928e+18,dailydeal2020,,samsung galaxi a50 64gb black tmobil att verizon unlock shop unlockedgalaxi samsungverizon httpsebayto32txoxi pictwittercom2wxgox7inb,[],['https://ebay.to/32Txoxi'],0,0,0,"['#unlockedgalaxy', '#tmobilesprint', '#samsungverizon']",https://twitter.com/DailyDeal2020/status/1177979663404212225,2019,1,2
15,1.177617154759385e+18,1569600783000.0,2019-09-27,11:13:03,CDT,1.1503929516185928e+18,dailydeal2020,,samsung galaxi a50 64gb black tmobil att verizon unlock end soon unlockedgalaxi samsungverizon httpsebayto32txoxi pictwittercomhpf5ezma4n,[],['https://ebay.to/32Txoxi'],0,1,1,"['#unlockedgalaxy', '#tmobilesprint', '#samsungverizon']",https://twitter.com/DailyDeal2020/status/1177617154759385089,2019,1,2
16,1.1772549372328878e+18,1569514424000.0,2019-09-26,11:13:44,CDT,1.1503929516185928e+18,dailydeal2020,,samsung galaxi a50 64gb black tmobil att verizon unlock shop unlockedgalaxi samsungverizon httpsebayto32txoxi pictwittercomgpfvpw2bao,[],['https://ebay.to/32Txoxi'],0,0,0,"['#unlockedgalaxy', '#tmobilesprint', '#samsungverizon']",https://twitter.com/DailyDeal2020/status/1177254937232887809,2019,1,2
